0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/domain_separator
function/domain_separator	has_output	domain_separator/output
domain_separator/output	has_type	bytes32
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/permit_typehash
function/permit_typehash	has_output	permit_typehash/output
permit_typehash/output	has_type	bytes32
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/allowance
function/allowance	has_input	allowance/
allowance/	has_type	address
function/allowance	has_input	allowance/
allowance/	has_type	address
function/allowance	has_output	allowance/output
allowance/output	has_type	uint256
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/approve
function/approve	has_input	approve/spender
approve/spender	has_type	address
function/approve	has_input	approve/amount
approve/amount	has_type	uint256
function/approve	has_output	approve/output
approve/output	has_type	bool
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/balanceof
function/balanceof	has_input	balanceof/
balanceof/	has_type	address
function/balanceof	has_output	balanceof/output
balanceof/output	has_type	uint256
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/burn
function/burn	has_input	burn/account
burn/account	has_type	address
function/burn	has_input	burn/amount
burn/amount	has_type	uint256
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/decimals
function/decimals	has_output	decimals/output
decimals/output	has_type	uint8
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/isminter
function/isminter	has_input	isminter/
isminter/	has_type	address
function/isminter	has_output	isminter/output
isminter/output	has_type	bool
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/mint
function/mint	has_input	mint/account
mint/account	has_type	address
function/mint	has_input	mint/amount
mint/amount	has_type	uint256
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/minters
function/minters	has_input	minters/
minters/	has_type	uint256
function/minters	has_output	minters/output
minters/output	has_type	address
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/minterslength
function/minterslength	has_output	minterslength/output
minterslength/output	has_type	uint256
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/name
function/name	has_output	name/output
name/output	has_type	string
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/nonces
function/nonces	has_input	nonces/
nonces/	has_type	address
function/nonces	has_output	nonces/output
nonces/output	has_type	uint256
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/owner
function/owner	has_output	owner/output
owner/output	has_type	address
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/permit
function/permit	has_input	permit/owner
permit/owner	has_type	address
function/permit	has_input	permit/spender
permit/spender	has_type	address
function/permit	has_input	permit/value
permit/value	has_type	uint256
function/permit	has_input	permit/deadline
permit/deadline	has_type	uint256
function/permit	has_input	permit/v
permit/v	has_type	uint8
function/permit	has_input	permit/r
permit/r	has_type	bytes32
function/permit	has_input	permit/s
permit/s	has_type	bytes32
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/renounceownership
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/setminter
function/setminter	has_input	setminter/who
setminter/who	has_type	address
function/setminter	has_input	setminter/canmint
setminter/canmint	has_type	bool
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/symbol
function/symbol	has_output	symbol/output
symbol/output	has_type	string
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/totalsupply
function/totalsupply	has_output	totalsupply/output
totalsupply/output	has_type	uint256
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/transfer
function/transfer	has_input	transfer/to
transfer/to	has_type	address
function/transfer	has_input	transfer/amount
transfer/amount	has_type	uint256
function/transfer	has_output	transfer/output
transfer/output	has_type	bool
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/transferfrom
function/transferfrom	has_input	transferfrom/from
transferfrom/from	has_type	address
function/transferfrom	has_input	transferfrom/to
transferfrom/to	has_type	address
function/transferfrom	has_input	transferfrom/amount
transferfrom/amount	has_type	uint256
function/transferfrom	has_output	transferfrom/output
transferfrom/output	has_type	bool
0x000000007a58f5f58e697e51ab0357bc9e260a04	has_function	function/transferownership
function/transferownership	has_input	transferownership/newowner
transferownership/newowner	has_type	address 
0x00000000a82b4758df44fcb124e26a9b441e59a0	type	smartcontractaddress
0x00000000a82b4758df44fcb124e26a9b441e59a0	has_event	event/approval
event/approval	has_input	approval/owner
approval/owner	has_type	address
event/approval	has_input	approval/spender
approval/spender	has_type	address
event/approval	has_input	approval/amount
approval/amount	has_type	uint256
0x00000000a82b4758df44fcb124e26a9b441e59a0	has_event	event/ownershiptransferred
event/ownershiptransferred	has_input	ownershiptransferred/user
ownershiptransferred/user	has_type	address
event/ownershiptransferred	has_input	ownershiptransferred/newowner
ownershiptransferred/newowner	has_type	address
0x00000000a82b4758df44fcb124e26a9b441e59a0	has_event	event/setminer
event/setminer	has_input	setminer/miner
setminer/miner	has_type	address
event/setminer	has_input	setminer/isminer
setminer/isminer	has_type	bool
0x00000000a82b4758df44fcb124e26a9b441e59a0	has_event	event/transfer
event/transfer	has_input	transfer/from
transfer/from	has_type	address
event/transfer	has_input	transfer/to
transfer/to	has_type	address
event/transfer	has_input	transfer/amount
transfer/amount	has_type	uint256
0x00000000a82b4758df44fcb124e26a9b441e59a0	has_function	function/domain_separator
function/domain_separator	has_output	domain_separator/output
domain_separator/output	has_type	bytes32
0x00000000a82b4758df44fcb124e26a9b441e59a0	has_function	function/allowance
function/allowance	has_input	allowance/
allowance/	has_type	address
function/allowance	has_input	allowance/
allowance/	has_type	address
function/allowance	has_output	allowance/output
allowance/output	has_type	uint256
0x00000000a82b4758df44fcb124e26a9b441e59a0	has_function	function/approve
function/approve	has_input	approve/spender
approve/spender	has_type	address
function/approve	has_input	approve/amount
approve/amount	has_type	uint256
function/approve	has_output	approve/output
approve/output	has_type	bool
0x00000000a82b4758df44fcb124e26a9b441e59a0	has_function	function/balanceof
function/balanceof	has_input	balanceof/
balanceof/	has_type	address
function/balanceof	has_output	balanceof/output
balanceof/output	has_type	uint256
0x00000000a82b4758df44fcb124e26a9b441e59a0	has_function	function/decimals
function/decimals	has_output	decimals/output
decimals/output	has_type	uint8
0x00000000a82b4758df44fcb124e26a9b441e59a0	has_function	function/miners
function/miners	has_input	miners/
miners/	has_type	address
